epoch,accuracy,f1_m,loss,precision_m,recall_m,val_accuracy,val_f1_m,val_loss,val_precision_m,val_recall_m
0,0.5870967507362366,0.4582683742046356,0.7777360677719116,0.396246075630188,0.5671662092208862,0.32478633522987366,0.3987713158130646,0.7195623517036438,0.2924765944480896,0.6527777910232544
1,0.5784946084022522,0.4510245621204376,0.6853909492492676,0.3850484788417816,0.5683670043945312,0.3333333432674408,0.5058757662773132,0.7282306551933289,0.3415178656578064,1.0
2,0.5913978219032288,0.4906073808670044,0.6694419980049133,0.40467697381973267,0.6655718088150024,0.3333333432674408,0.5058757662773132,0.7400850653648376,0.3415178656578064,1.0
3,0.6043010950088501,0.5288137793540955,0.6256759166717529,0.4311254918575287,0.7312588095664978,0.3333333432674408,0.5058757662773132,0.7500845789909363,0.3415178656578064,1.0
4,0.6365591287612915,0.55584317445755,0.6165147423744202,0.4521115720272064,0.7445286512374878,0.3333333432674408,0.5058757662773132,0.7641472816467285,0.3415178656578064,1.0
5,0.6451612710952759,0.5699777603149414,0.6217080354690552,0.45896437764167786,0.7683679461479187,0.3333333432674408,0.5058757662773132,0.773374617099762,0.3415178656578064,1.0
6,0.6451612710952759,0.5753017663955688,0.6032159328460693,0.47412678599357605,0.7615416049957275,0.3333333432674408,0.5058757662773132,0.7815666794776917,0.3415178656578064,1.0
7,0.675268828868866,0.6086805462837219,0.6032514572143555,0.5035666227340698,0.8220246434211731,0.3333333432674408,0.5058757662773132,0.7837966680526733,0.3415178656578064,1.0
8,0.6903225779533386,0.6029602289199829,0.5877406001091003,0.5038473010063171,0.7957283854484558,0.3333333432674408,0.5058757662773132,0.7828972339630127,0.3415178656578064,1.0
9,0.7075268626213074,0.617203414440155,0.5537036061286926,0.5160667300224304,0.8081153631210327,0.34188035130500793,0.5086196660995483,0.7794249653816223,0.34378600120544434,1.0
10,0.7161290049552917,0.6392869353294373,0.5508029460906982,0.5436617136001587,0.81021648645401,0.3589743673801422,0.5142481923103333,0.7640622854232788,0.34847351908683777,1.0
11,0.7354838848114014,0.6386361718177795,0.5543094277381897,0.5560062527656555,0.7774792313575745,0.38461539149284363,0.5233698487281799,0.7563419342041016,0.35625001788139343,1.0
12,0.7698924541473389,0.6802937388420105,0.5210402011871338,0.6037693023681641,0.8249302506446838,0.4188034236431122,0.5380722284317017,0.7516029477119446,0.37044334411621094,1.0
13,0.7698924541473389,0.6854327917098999,0.5025755763053894,0.5893301367759705,0.8618530631065369,0.470085471868515,0.5632882118225098,0.7340332269668579,0.3958333432674408,1.0
14,0.7526881694793701,0.665090024471283,0.5315631628036499,0.5944406986236572,0.7845904231071472,0.5128205418586731,0.5845430493354797,0.7128713130950928,0.4176093637943268,1.0
15,0.7892473340034485,0.7078337073326111,0.4817270338535309,0.6297404766082764,0.8321512341499329,0.5982906222343445,0.6327380537986755,0.682336688041687,0.46868133544921875,1.0
16,0.7870967984199524,0.6875213980674744,0.4823527932167053,0.6357812881469727,0.7839137315750122,0.6239316463470459,0.6443310379981995,0.6653792262077332,0.48652946949005127,0.9791666865348816
17,0.8107526898384094,0.7285611629486084,0.4549444913864136,0.668091356754303,0.8314310908317566,0.6581196784973145,0.6668573617935181,0.6417229771614075,0.511817216873169,0.9791666865348816
18,0.800000011920929,0.7084930539131165,0.469549298286438,0.6436164379119873,0.8118367791175842,0.6581196784973145,0.6668573617935181,0.6315822601318359,0.511817216873169,0.9791666865348816
19,0.7849462628364563,0.6655570268630981,0.47256678342819214,0.6072290539741516,0.7729138135910034,0.6837607026100159,0.6901737451553345,0.6182305812835693,0.5418269634246826,0.9791666865348816
20,0.7978494763374329,0.7150197625160217,0.4459928870201111,0.6406307220458984,0.8445937633514404,0.692307710647583,0.6950757503509521,0.5992886424064636,0.5477793216705322,0.9791666865348816
21,0.7763440608978271,0.683842122554779,0.4820844531059265,0.6064823865890503,0.8312471508979797,0.7350427508354187,0.7306591272354126,0.5774974226951599,0.5938020348548889,0.9791666865348816
22,0.7849462628364563,0.6965714693069458,0.4665777385234833,0.6302075982093811,0.8149566650390625,0.7435897588729858,0.7358673810958862,0.5637058615684509,0.6003496646881104,0.9791666865348816
23,0.800000011920929,0.7119958400726318,0.4334467351436615,0.6319856643676758,0.8445788025856018,0.7777777910232544,0.7628787159919739,0.5419934391975403,0.6375430226325989,0.9791666865348816
24,0.7935484051704407,0.7017338871955872,0.4340650737285614,0.6165363788604736,0.8421957492828369,0.7777777910232544,0.7628787159919739,0.5233785510063171,0.6375430226325989,0.9791666865348816
25,0.8064516186714172,0.7278252840042114,0.4183505177497864,0.6591345071792603,0.8493911027908325,0.7863247990608215,0.7688595652580261,0.5030314922332764,0.6644660830497742,0.9513888955116272
